,Game_Name,Descriptions_game,Price_game
0,Mario Kart™ 8 Deluxe,"With Nintendo Switch, fans can enjoy the definitive version of Mario Kart 8 anywhere, anytime, even with up to eight friends in local wireless multiplayer.","
฿1,973.18
฿1,322.03
"
1,Mario + Rabbids® Kingdom Battle,"Embark on an adventure full of unexpected surprises in Mario + Rabbids® Kingdom Battle, an over-the-top turn-based combat game, only on Nintendo Switch.","
฿1,397.83
฿349.46
"
2,EA SPORTS FIFA 23 Nintendo Switch™ Legacy Edition,The World's Game,"
฿1,172.93
฿586.46
"
3,resident evil 4,The original action horror masterpiece.,"
฿522.64
฿261.32
"
4,Super Mario Odyssey™,"Join Mario on a massive, globe-trotting 3D adventure and use his incredible new abilities to rescue Princess Peach from Bowser’s wedding plans!","
฿1,973.18
฿1,322.03
"
5,MARIO + RABBIDS SPARKS OF HOPE,"Team up with Mario, Luigi, Princess Peach, Rabbid Peach, Rabbid Luigi, and their friends on a galactic journey.","
฿1,831.43
฿915.14
"
6,Immortals Fenyx Rising™,Play as Fenyx on a quest to save the Greek gods from a dark curse.,"
฿1,874.54
฿373.41
"
7,The Legend of Zelda™: Tears of the Kingdom,An epic adventure across the land and skies of Hyrule awaits in The Legend of Zelda: Tears of the Kingdom for Nintendo Switch.,"
฿2,065.07
"
8,Crash Bandicoot™ - Crashiversary Bundle,Celebrate 25 years of marsupial mayhem.,"
฿2,952.81
฿1,180.47
"
9,Mortal Kombat 11,Mortal Kombat is back and better than ever in the next evolution of the iconic franchise!,"
฿568.82
฿129.38
"
10,Monster Hunter Rise,"Go on a hunt wherever you want, whenever you want in MONSTER HUNTER RISE for Nintendo Switch!","
฿1,214.27
฿607.13
"
11,The Legend of Zelda™: Breath of the Wild,"Step into a world of discovery, exploration and adventure in The Legend of Zelda: Breath of the Wild, a boundary-breaking new game in the acclaimed series","
฿1,974.19
"
12,Ni no Kuni: Wrath of the White Witch,Follow Oliver’s journey as he embarks to another world in Ni No Kuni Remastered: Wrath of the White Witch on Nintendo Switch.,"
฿632.05
฿143.76
"
13,Super Mario™ 3D World + Bowser’s Fury,Explore a world of Mario fun together!,"
฿1,973.18
฿1,322.03
"
14,Have A Nice Death,"Have a Nice Death is a 2D action roguelike where you play as an overworked Death, whose employees have run rampant, completely throwing off the balance of souls and his...","
฿435.49
"
15,DRAGON BALL Xenoverse 2 for Nintendo Switch,DRAGON BALL XENOVERSE 2 builds upon the highly popular DRAGON BALL XENOVERSE with enhanced graphics that will further immerse players into the largest and most detailed Dragon Ball world ever...,"
฿910.27
฿155.28
"
16,Nintendo Switch Game Vouchers,Users with an active Nintendo Switch Online membership will be able to purchase a set of two vouchers that can be redeemed for a selection of downloadable Nintendo software. Each...,"
฿2,608.79
"
17,FINAL FANTASY VII,"FINAL FANTASY VII, the timeless classic loved by a legion of fans, comes to Nintendo Switch with a number of helpful extra features!","
฿212.56
฿106.28
"
18,Hollow Knight,"Descend into darkness and brave the depths of a forgotten kingdom in Hollow Knight, an atmospheric action-adventure for Nintendo eShop on Nintendo Switch.","
฿51.77
"
19,New Super Mario Bros.™ U Deluxe,"Enjoy 164 courses for up to four players anytime, anywhere in New Super Mario Bros. U Deluxe on Nintendo Switch!","
฿1,973.18
฿1,322.03
"
